comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;latencies(ms);bandwidths(Mbs);input_size;preprocess;splitroles;packetdrops(%);verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
0.02;3;1;0;4;512;74;1;0;5;10000;10000;0;25000;1;0;1;2;1;.134344;NA;.108705;.289843;.336156;.470416;2628;591
0.02;3;1;0;4;512;74;1;0;5;10000;10000;0;25000;1;0;1;2;1;.052200;NA;.108769;.277720;.382462;.389583;3028;717
0.02;3;1;0;4;512;74;1;0;5;10000;10000;0;25000;1;0;1;5;1;.095645;NA;.127053;1.168440;1.685486;1.736666;3113;186
0.02;3;1;0;4;512;74;1;0;5;10000;10000;0;25000;1;0;1;5;1;.133145;NA;.129420;1.074055;1.396953;1.420416;3123;231
0.02;3;1;0;4;512;74;1;0;5;10000;10000;0;25000;1;0;1;5;1;.091518;NA;.128626;1.120346;1.684064;1.733750;3087;188
0.02;3;1;0;4;512;74;1;1;5;10000;10000;0;25000;1;0;1;0;1;.011736;NA;.131655;.126574;.138711;.145833;2319;2276
0.02;3;1;0;4;512;74;1;1;5;10000;10000;0;25000;1;0;1;0;1;.012204;NA;.129291;.127032;.134725;.146666;2310;2230
0.02;3;1;0;4;512;74;1;1;5;10000;10000;0;25000;1;0;1;0;1;.012362;NA;.132236;.127146;.142421;.153750;2166;2185
0.02;3;1;0;4;512;74;1;1;5;10000;10000;0;25000;1;0;1;1;1;.051484;NA;.109001;.142607;.195514;.205000;2962;1374
0.02;3;1;0;4;512;74;1;1;5;10000;10000;0;25000;1;0;1;1;1;.092503;NA;.107925;.136723;.165854;.210000;2481;1324
0.02;3;1;0;4;512;74;1;1;5;10000;10000;0;25000;1;0;1;1;1;.050843;NA;.111469;.146225;.177380;.211250;2995;1344
0.02;3;1;0;4;512;74;1;1;5;10000;10000;0;25000;1;0;1;2;1;.092338;NA;.104922;.180126;.272083;.310416;2973;871
0.02;3;1;0;4;512;74;1;1;5;10000;10000;0;25000;1;0;1;2;1;.090531;NA;.105686;.178331;.232951;.276250;2879;978
0.03;3;1;0;4;512;74;1;1;5;10000;10000;0;25000;1;0;1;2;1;.053787;NA;.105326;.175312;.218518;.271250;2743;995
0.02;3;1;0;4;512;74;1;1;5;10000;10000;0;25000;1;0;1;5;1;.135589;NA;.117437;.810510;1.564746;1.571666;3090;191
0.02;3;1;0;4;512;74;1;1;5;10000;10000;0;25000;1;0;1;5;1;.132777;NA;.122396;.814600;1.239113;1.287500;3061;241
0.02;3;1;0;4;512;74;1;1;5;10000;10000;0;25000;1;0;1;5;1;.093969;NA;.119233;.934752;1.709437;1.762500;3113;172
0.02;3;1;0;4;512;174;1;0;5;10000;10000;0;25000;1;0;1;0;1;.012570;NA;.134976;.124736;.142407;.150000;2222;2282
0.02;3;1;0;4;512;174;1;0;5;10000;10000;0;25000;1;0;1;0;1;.012406;NA;.142511;.127382;.145640;.152916;2331;2344
0.02;3;1;0;4;512;174;1;0;5;10000;10000;0;25000;1;0;1;0;1;.012360;NA;.138786;.125824;.133336;.143750;2320;2434
0.02;3;1;0;4;512;174;1;0;5;10000;10000;0;25000;1;0;1;1;1;.052987;NA;.112214;.130702;.177324;.190416;3074;1510
0.02;3;1;0;4;512;174;1;0;5;10000;10000;0;25000;1;0;1;1;1;.135622;NA;.113572;.124630;.177886;.222083;3028;1302
0.02;3;1;0;4;512;174;1;0;5;10000;10000;0;25000;1;0;1;1;1;.053546;NA;.115332;.129896;.178632;.185833;2989;1593
0.02;3;1;0;4;512;174;1;0;5;10000;10000;0;25000;1;0;1;2;1;.052188;NA;.110681;.163165;.223916;.243333;3055;1162
0.02;3;1;0;4;512;174;1;0;5;10000;10000;0;25000;1;0;1;2;1;.091549;NA;.110100;.161845;.247298;.297083;3027;955
0.02;3;1;0;4;512;174;1;0;5;10000;10000;0;25000;1;0;1;2;1;.053182;NA;.112715;.162609;.239890;.290000;2759;997
0.02;3;1;0;4;512;174;1;0;5;10000;10000;0;25000;1;0;1;5;1;.132222;NA;.118685;.766092;1.243467;1.251666;3187;242
0.02;3;1;0;4;512;174;1;0;5;10000;10000;0;25000;1;0;1;5;1;.090981;NA;.120281;.854902;2.030990;2.080000;3214;147
0.02;3;1;0;4;512;174;1;0;5;10000;10000;0;25000;1;0;1;5;1;.138189;NA;.121023;.808019;1.062654;1.202916;3259;256
0.02;3;1;0;4;512;174;1;1;5;10000;10000;0;25000;1;0;1;0;1;.012009;NA;.135363;.121094;.132989;.140000;2334;2444
0.02;3;1;0;4;512;174;1;1;5;10000;10000;0;25000;1;0;1;0;1;.006778;NA;.136762;.123054;.132131;.139166;2274;2473
0.02;3;1;0;4;512;174;1;1;5;10000;10000;0;25000;1;0;1;0;1;.012494;NA;.132218;.123402;.137856;.146250;2465;2277
0.02;3;1;0;4;512;174;1;1;5;10000;10000;0;25000;1;0;1;1;1;.049638;NA;.112262;.130642;.165718;.172916;2496;1650
0.02;3;1;0;4;512;174;1;1;5;10000;10000;0;25000;1;0;1;1;1;.053693;NA;.108649;.121843;.152283;41.666666;2903;5
