comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;bandwidths(Mbs);input_size;preprocess;splitroles;verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
0.02;3;1;0;4;512;271;1;1;5;10000;10000;10000;1;0;1;1;.014181;NA;.141367;.257602;.266083;.277916;4076;1320
0.02;3;1;0;4;512;271;1;1;5;10000;10000;10000;1;0;1;1;.014358;NA;.146420;.255687;.262988;.277083;4193;1363
0.02;3;1;0;4;512;271;1;1;5;10000;10000;10000;1;0;1;1;.010825;NA;.147845;.258705;.264905;.276250;4073;1384
0.02;3;1;0;4;512;271;1;1;5;10000;10000;25000;1;0;1;1;.018742;NA;.147863;.129924;.137776;.152083;3146;2524
0.02;3;1;0;4;512;271;1;1;5;10000;10000;25000;1;0;1;1;.017894;NA;.153299;.130277;.138447;.152916;3532;2612
0.02;3;1;0;4;512;271;1;1;5;10000;10000;25000;1;0;1;1;.018031;NA;.152139;.131128;.135822;.152083;3181;2562
0.02;3;1;0;4;512;74;1;0;5;10000;10000;100;1;0;1;1;.012627;NA;.214721;15.556906;16.265518;16.280000;3157;32
0.02;3;1;0;4;512;74;1;0;5;10000;10000;100;1;0;1;1;.012577;NA;.214523;15.770376;16.275693;16.283750;3123;32
0.02;3;1;0;4;512;74;1;0;5;10000;10000;100;1;0;1;1;.012166;NA;.213085;15.579790;16.293745;16.305000;3121;32
0.02;3;1;0;4;512;74;1;0;5;10000;10000;1000;1;0;1;1;.012561;NA;.143475;1.521330;1.692327;1.701250;3096;215
0.02;3;1;0;4;512;74;1;0;5;10000;10000;1000;1;0;1;1;.007427;NA;.145176;1.511796;1.690550;1.698750;3099;216
0.02;3;1;0;4;512;74;1;0;5;10000;10000;1000;1;0;1;1;.012017;NA;.146153;1.507217;1.689096;1.697916;3093;218
0.02;3;1;0;4;512;74;1;0;5;10000;10000;10000;1;0;1;1;.012312;NA;.119226;.231457;.243642;.254583;2756;1192
0.02;3;1;0;4;512;74;1;0;5;10000;10000;10000;1;0;1;1;.012337;NA;.119532;.230431;.248153;.256666;2945;1192
0.02;3;1;0;4;512;74;1;0;5;10000;10000;10000;1;0;1;1;.011835;NA;.118140;.213734;.230352;.242916;2966;1252
0.02;3;1;0;4;512;74;1;0;5;10000;10000;25000;1;0;1;1;.012112;NA;.136004;.143662;.167921;.175000;2320;1959
0.02;3;1;0;4;512;74;1;0;5;10000;10000;25000;1;0;1;1;.012200;NA;.131532;.157740;.172450;.183333;2284;1812
0.02;3;1;0;4;512;74;1;0;5;10000;10000;25000;1;0;1;1;.009347;NA;.134541;.164963;.185854;.194166;2383;1748
0.02;3;1;0;4;512;74;1;1;5;10000;10000;100;1;0;1;1;.012491;NA;.210074;15.593575;16.239761;16.252500;3121;32
0.02;3;1;0;4;512;74;1;1;5;10000;10000;100;1;0;1;1;.012935;NA;.211341;15.747621;16.255456;16.262500;3152;32
0.02;3;1;0;4;512;74;1;1;5;10000;10000;100;1;0;1;1;.012474;NA;.212051;15.795093;16.256257;16.263750;3155;32
0.02;3;1;0;4;512;74;1;1;5;10000;10000;1000;1;0;1;1;.011868;NA;.138242;1.422541;1.652341;1.660000;3089;210
0.02;3;1;0;4;512;74;1;1;5;10000;10000;1000;1;0;1;1;.012308;NA;.140874;1.451334;1.651810;1.660833;3088;216
0.02;3;1;0;4;512;74;1;1;5;10000;10000;1000;1;0;1;1;.012056;NA;.139948;1.416025;1.655249;1.662500;3097;212
0.02;3;1;0;4;512;74;1;1;5;10000;10000;10000;1;0;1;1;.012244;NA;.113308;.190447;.204231;.216666;2817;1357
0.02;3;1;0;4;512;74;1;1;5;10000;10000;10000;1;0;1;1;.011695;NA;.116115;.191254;.203586;.212500;2890;1394
0.02;3;1;0;4;512;74;1;1;5;10000;10000;10000;1;0;1;1;.012051;NA;.114383;.188931;.207251;.217083;2915;1340
0.02;3;1;0;4;512;74;1;1;5;10000;10000;25000;1;0;1;1;.011903;NA;.129799;.126706;.138094;.147916;2207;2227
0.02;3;1;0;4;512;74;1;1;5;10000;10000;25000;1;0;1;1;.012787;NA;.130405;.124281;.132310;.139583;2268;2365
0.02;3;1;0;4;512;74;1;1;5;10000;10000;25000;1;0;1;1;.012039;NA;.133064;.126024;.136799;.144166;2319;2346
0.02;3;1;0;4;512;174;1;0;5;10000;10000;100;1;0;1;1;.012307;NA;.220982;16.357699;17.597896;17.606250;3279;31
0.02;3;1;0;4;512;174;1;0;5;10000;10000;100;1;0;1;1;.012585;NA;.214782;16.266069;17.608803;17.616250;3299;30
0.02;3;1;0;4;512;174;1;0;5;10000;10000;100;1;0;1;1;.013332;NA;.219149;16.135415;17.606788;17.615833;3277;31
0.02;3;1;0;4;512;174;1;0;5;10000;10000;1000;1;0;1;1;.007617;NA;.142230;1.508077;1.770999;1.778333;3241;202
0.02;3;1;0;4;512;174;1;0;5;10000;10000;1000;1;0;1;1;.011664;NA;.142146;1.523688;1.767884;1.777083;3229;202
0.02;3;1;0;4;512;174;1;0;5;10000;10000;1000;1;0;1;1;.012459;NA;.140174;1.472485;1.768787;1.777916;3227;199
0.02;3;1;0;4;512;174;1;0;5;10000;10000;10000;1;0;1;1;.012940;NA;.116317;.189022;.213447;.223750;2892;1334
0.02;3;1;0;4;512;174;1;0;5;10000;10000;10000;1;0;1;1;.007828;NA;.119513;.195820;.216343;.223750;2816;1356
0.02;3;1;0;4;512;174;1;0;5;10000;10000;10000;1;0;1;1;.011209;NA;.117402;.192762;.213449;.225000;2914;1328
0.02;3;1;0;4;512;174;1;0;5;10000;10000;25000;1;0;1;1;.012011;NA;.132049;.122906;.131462;.140416;2273;2388
0.02;3;1;0;4;512;174;1;0;5;10000;10000;25000;1;0;1;1;.007110;NA;.134830;.124060;.135736;.143333;2294;2373
0.02;3;1;0;4;512;174;1;0;5;10000;10000;25000;1;0;1;1;.012380;NA;.139597;.124709;.134045;.144583;2230;2430
0.02;3;1;0;4;512;174;1;1;5;10000;10000;100;1;0;1;1;.012474;NA;.205507;15.511840;16.413226;16.420833;3210;31
0.02;3;1;0;4;512;174;1;1;5;10000;10000;100;1;0;1;1;.012339;NA;.208410;15.467032;16.408598;16.418333;3161;31
0.02;3;1;0;4;512;174;1;1;5;10000;10000;100;1;0;1;1;.012123;NA;.207227;15.666188;16.406081;16.413750;3196;31
0.02;3;1;0;4;512;174;1;1;5;10000;10000;1000;1;0;1;1;.011492;NA;.135823;1.401413;1.657200;1.665833;3154;206
0.02;3;1;0;4;512;174;1;1;5;10000;10000;1000;1;0;1;1;.012294;NA;.138563;1.436289;1.656147;1.664583;3126;211
0.02;3;1;0;4;512;174;1;1;5;10000;10000;1000;1;0;1;1;.012294;NA;.135720;1.475225;1.655161;1.667500;3134;207
0.02;3;1;0;4;512;174;1;1;5;10000;10000;10000;1;0;1;1;.012402;NA;.115001;.182518;.201417;.210416;2976;1389
0.02;3;1;0;4;512;174;1;1;5;10000;10000;10000;1;0;1;1;.011836;NA;.114603;.182995;.200071;.211666;2954;1383
0.02;3;1;0;4;512;174;1;1;5;10000;10000;10000;1;0;1;1;.012377;NA;.113147;.180079;.202291;.213333;2935;1367
0.02;3;1;0;4;512;174;1;1;5;10000;10000;25000;1;0;1;1;.011593;NA;.133594;.120913;.134120;.141666;2336;2386
0.02;3;1;0;4;512;174;1;1;5;10000;10000;25000;1;0;1;1;.007085;NA;.131917;.121449;.132594;.140000;2267;2377
0.02;3;1;0;4;512;174;1;1;5;10000;10000;25000;1;0;1;1;.011868;NA;.132144;.118957;.129874;.137083;2362;2434
0.02;3;1;0;4;512;274;1;0;5;10000;10000;100;1;0;1;1;.007542;NA;.223711;16.529769;17.472905;17.481250;3184;31
0.02;3;1;0;4;512;274;1;0;5;10000;10000;100;1;0;1;1;.010171;NA;.222201;16.884666;17.475789;17.485416;3219;31
0.02;3;1;0;4;512;274;1;0;5;10000;10000;100;1;0;1;1;.012587;NA;.227583;16.595578;17.470006;17.478750;3184;32
0.02;3;1;0;4;512;274;1;0;5;10000;10000;1000;1;0;1;1;.012799;NA;.144052;1.507865;1.768201;1.776250;3151;206
0.02;3;1;0;4;512;274;1;0;5;10000;10000;1000;1;0;1;1;.012333;NA;.141589;1.496186;1.761531;1.773333;3155;202
0.02;3;1;0;4;512;274;1;0;5;10000;10000;1000;1;0;1;1;.012529;NA;.140507;1.481193;1.764177;1.775833;3154;202
0.02;3;1;0;4;512;274;1;0;5;10000;10000;10000;1;0;1;1;.012104;NA;.114314;.188365;.215004;41.666666;2726;6
