comp.time(s),comp.peakRAM(MiB),bin.filesize(MiB),ssl,threads,datatype,function,optshare,packbool,protocol,rxbuffer,txbuffer,latencies(ms),input_size,preprocess,splitroles,verifybuffer,inittime(s),preproc(s),runtime_clock(s),runtime_getTime(s),runtime_chrono(s),runtime_external(s),peakRAM(MiB),jobCPU(%),runtime_chrono(ms),Configuration,Quantized,Combined Configuration
0.02,3,1,0,4,512,271,1,1,5,10000,10000,0,1,0,1,1,0.012079,,0.156538,0.132354,0.13709,0.147916,3514,2711,137.09,ResNet50 - Latency Optimized,Quantized,ResNet50 - Latency Optimized - Quantized
0.02,3,1,0,4,512,271,1,1,5,10000,10000,0,1,0,1,1,0.009981,,0.148641,0.131164,0.137767,0.148333,3268,2571,137.767,ResNet50 - Latency Optimized,Quantized,ResNet50 - Latency Optimized - Quantized
0.02,3,1,0,4,512,271,1,1,5,10000,10000,0,1,0,1,1,0.018401,,0.152387,0.130274,0.136966,0.149583,3495,2650,136.966,ResNet50 - Latency Optimized,Quantized,ResNet50 - Latency Optimized - Quantized
0.02,3,1,0,4,512,271,1,1,5,10000,10000,25,1,0,1,1,0.020254,,0.147597,2.025994,2.038026,2.05875,4515,187,2038.0259999999998,ResNet50 - Latency Optimized,Quantized,ResNet50 - Latency Optimized - Quantized
0.02,3,1,0,4,512,271,1,1,5,10000,10000,25,1,0,1,1,0.013107,,0.149534,2.022483,2.033,2.05,4519,195,2033.0,ResNet50 - Latency Optimized,Quantized,ResNet50 - Latency Optimized - Quantized
0.02,3,1,0,4,512,271,1,1,5,10000,10000,25,1,0,1,1,0.017658,,0.151349,2.026055,2.035086,2.052083,4523,195,2035.0860000000002,ResNet50 - Latency Optimized,Quantized,ResNet50 - Latency Optimized - Quantized
0.02,3,1,0,4,512,271,1,1,5,10000,10000,50,1,0,1,1,0.021545,,0.146981,4.034157,4.063002,4.0875,4579,94,4063.002,ResNet50 - Latency Optimized,Quantized,ResNet50 - Latency Optimized - Quantized
0.02,3,1,0,4,512,271,1,1,5,10000,10000,50,1,0,1,1,0.021553,,0.147878,4.036507,4.084482,4.103333,4583,94,4084.4820000000004,ResNet50 - Latency Optimized,Quantized,ResNet50 - Latency Optimized - Quantized
0.03,3,1,0,4,512,271,1,1,5,10000,10000,50,1,0,1,1,0.021519,,0.148058,4.034671,4.064818,4.083333,4615,94,4064.8179999999998,ResNet50 - Latency Optimized,Quantized,ResNet50 - Latency Optimized - Quantized
0.02,3,1,0,4,512,271,1,1,5,10000,10000,75,1,0,1,1,0.025878,,0.148455,6.050289,6.114451,6.13875,4602,63,6114.451,ResNet50 - Latency Optimized,Quantized,ResNet50 - Latency Optimized - Quantized
0.02,3,1,0,4,512,271,1,1,5,10000,10000,75,1,0,1,1,0.028178,,0.148206,6.048076,6.091232,6.113333,4605,63,6091.232,ResNet50 - Latency Optimized,Quantized,ResNet50 - Latency Optimized - Quantized
0.02,3,1,0,4,512,271,1,1,5,10000,10000,75,1,0,1,1,0.019582,,0.149515,6.055282,6.095055,6.117083,4607,63,6095.055,ResNet50 - Latency Optimized,Quantized,ResNet50 - Latency Optimized - Quantized
0.02,3,1,0,4,512,74,1,0,5,10000,10000,0,1,0,1,1,0.012578,,0.132358,0.162195,0.172725,0.18125,2270,1845,172.725,VGG-16 - Bandwidth Optimized,Non-Quantized,VGG-16 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,74,1,0,5,10000,10000,0,1,0,1,1,0.01258,,0.131315,0.16232,0.178631,0.185833,2180,1796,178.631,VGG-16 - Bandwidth Optimized,Non-Quantized,VGG-16 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,74,1,0,5,10000,10000,0,1,0,1,1,0.012763,,0.132034,0.164933,0.175141,0.1875,2161,1802,175.141,VGG-16 - Bandwidth Optimized,Non-Quantized,VGG-16 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,74,1,0,5,10000,10000,25,1,0,1,1,0.016016,,0.131433,1.815874,1.829743,1.84125,3050,184,1829.743,VGG-16 - Bandwidth Optimized,Non-Quantized,VGG-16 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,74,1,0,5,10000,10000,25,1,0,1,1,0.015262,,0.130698,1.816405,1.82305,1.83625,3046,182,1823.05,VGG-16 - Bandwidth Optimized,Non-Quantized,VGG-16 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,74,1,0,5,10000,10000,25,1,0,1,1,0.011973,,0.132374,1.816225,1.824344,1.83625,3047,185,1824.344,VGG-16 - Bandwidth Optimized,Non-Quantized,VGG-16 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,74,1,0,5,10000,10000,50,1,0,1,1,0.017516,,0.131551,3.564091,3.578978,3.5925,3107,93,3578.978,VGG-16 - Bandwidth Optimized,Non-Quantized,VGG-16 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,74,1,0,5,10000,10000,50,1,0,1,1,0.017076,,0.130369,3.566825,3.57988,3.597083,3093,93,3579.88,VGG-16 - Bandwidth Optimized,Non-Quantized,VGG-16 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,74,1,0,5,10000,10000,50,1,0,1,1,0.018475,,0.131449,3.565802,3.589979,3.609166,3111,93,3589.979,VGG-16 - Bandwidth Optimized,Non-Quantized,VGG-16 - Bandwidth Optimized - Non-Quantized
